primary;category
excavation_service;Others / Not sure
lebanese_restaurant;Social, Cultural
town_hall;Others / Not sure
restaurant_wholesale;Others / Not sure
asian_fusion_restaurant;Social, Cultural
coal_and_coke;Others / Not sure
soccer_stadium;Recreational, Outdoors
housing_cooperative;Others / Not sure
consultant_and_general_service;Others / Not sure
auction_house;Others / Not sure
american_restaurant;Social, Cultural
videographer;Others / Not sure
boxing_class;Recreational, Outdoors
builders;Others / Not sure
professional_sports_team;Recreational, Outdoors
tobacco_shop;Shopping, Errands
travel_agents;Social, Cultural
holiday_rental_home;Social, Cultural
castle;Social, Cultural
sculpture_statue;Social, Cultural
pharmaceutical_products_wholesaler;Others / Not sure
glass_and_mirror_sales_service;Others / Not sure
environmental_and_ecological_services_for_businesses;Others / Not sure
auto_manufacturers_and_distributors;Others / Not sure
ambulance_and_ems_services;Healthcare and Health
massage_school;Education
osteopathic_physician;Healthcare and Health
paint_store;Shopping, Errands
flooring_contractors;Others / Not sure
evangelical_church;Social, Cultural
business_to_business_services;Others / Not sure
food_safety_training;Education
solar_installation;Others / Not sure
recreational_vehicle_dealer;Shopping, Errands
food_stand;Social, Cultural
homeless_shelter;Social, Cultural
environmental_conservation_and_ecological_organizations;Social, Cultural
e_cigarette_store;Shopping, Errands
elevator_service;Others / Not sure
brake_service_and_repair;Others / Not sure
dental_supply_store;Shopping, Errands
mining;Others / Not sure
airline;Social, Cultural
trains;Social, Cultural
fireplace_service;Others / Not sure
agriculture;Others / Not sure
ethical_grocery;Shopping, Errands
mortgage_lender;Others / Not sure
countertop_installation;Others / Not sure
forest;Recreational, Outdoors
hot_dog_restaurant;Social, Cultural
nutritionist;Healthcare and Health
coworking_space;Social, Cultural
patent_law;Others / Not sure
rug_store;Shopping, Errands
tapas_bar;Social, Cultural
winery;Social, Cultural
pentecostal_church;Social, Cultural
horseback_riding_service;Recreational, Outdoors
sightseeing_tour_agency;Social, Cultural
flight_school;Education
building_contractor;Others / Not sure
exporters;Others / Not sure
media_agency;Others / Not sure
arcade;Recreational, Outdoors
fort;Social, Cultural
luggage_store;Shopping, Errands
electronic_parts_supplier;Others / Not sure
desserts;Social, Cultural
weight_loss_center;Healthcare and Health
jail_and_prison;Others / Not sure
private_school;Education
video_game_store;Shopping, Errands
b2b_oil_and_gas_extraction_and_services;Others / Not sure
agricultural_cooperatives;Others / Not sure
paintball;Recreational, Outdoors
environmental_conservation_organization;Social, Cultural
cremation_services;Others / Not sure
video_film_production;Others / Not sure
boat_tours;Recreational, Outdoors
automation_services;Others / Not sure
cheese_shop;Shopping, Errands
home_decor;Shopping, Errands
golf_instructor;Recreational, Outdoors
service_apartments;Social, Cultural
distribution_services;Others / Not sure
bed_and_breakfast;Social, Cultural
jehovahs_witness_kingdom_hall;Social, Cultural
water_park;Recreational, Outdoors
go_kart_club;Recreational, Outdoors
gun_and_ammo;Shopping, Errands
hydraulic_equipment_supplier;Others / Not sure
boat_parts_and_accessories;Shopping, Errands
swimming_instructor;Recreational, Outdoors
hockey_arena;Recreational, Outdoors
blood_and_plasma_donation_center;Healthcare and Health
convents_and_monasteries;Social, Cultural
civil_engineers;Others / Not sure
comedy_club;Social, Cultural
massage_therapy;Healthcare and Health
hotel_bar;Social, Cultural
movers;Others / Not sure
shooting_range;Recreational, Outdoors
banks;Others / Not sure
tax_services;Others / Not sure
collection_agencies;Others / Not sure
obstetrician_and_gynecologist;Healthcare and Health
surfing;Recreational, Outdoors
printing_equipment_and_supply;Others / Not sure
b2b_cleaning_and_waste_management;Others / Not sure
local_and_state_government_offices;Others / Not sure
structural_engineer;Others / Not sure
perfume_store;Shopping, Errands
food_truck;Social, Cultural
public_health_clinic;Healthcare and Health
windows_installation;Others / Not sure
aquatic_pet_store;Shopping, Errands
halal_restaurant;Social, Cultural
cottage;Social, Cultural
cooking_school;Education
automotive_services_and_repair;Others / Not sure
spanish_restaurant;Social, Cultural
archery_range;Recreational, Outdoors
horse_boarding;Recreational, Outdoors
persian_iranian_restaurant;Social, Cultural
janitorial_services;Others / Not sure
b2b_food_products;Others / Not sure
business_office_supplies_and_stationery;Shopping, Errands
housing_authorities;Others / Not sure
palace;Social, Cultural
